find the union of the icon and text rects,rectangle r = new rectangle ( ) ; r . set bounds ( text rect ) ; r = swing utilities . compute union ( icon rect . x @$ icon rect . y @$ icon rect . width @$ icon rect . height @$ r ) ;
will add q 1 as a query being executed,thread . sleep ( __num__ ) ; obj store . mark scheduled executions timed out ( __num__ ) ; try ( persistence manager pm = persistence manager provider . get persistence manager ( ) ) { m scheduled execution execution = pm . get object by id ( m scheduled execution . class @$ poll result . get execution id ( ) ) ; assert equals ( query state . timed_out @$ execution . get state ( ) ) ; }
first dvc should be the total row count indicator,final dim value count first dvc = iterator . next ( ) ; final long total rows = first dvc . num rows ; if ( ! __str__ . equals ( first dvc . dim ) || ! __str__ . equals ( first dvc . value ) ) { throw new illegal state exception ( __str__ ) ; }
create the initial file of old file len,final path p = new path ( __str__ + old file len + __str__ + flushed bytes1 + __str__ + flushed bytes2 ) ; log . info ( __str__ + p ) ; fs data output stream out = fs . create ( p @$ false @$ conf . get int ( common configuration keys . io_file_buffer_size_key @$ __num__ ) @$ replication @$ block_size ) ; out . write ( contents @$ __num__ @$ old file len ) ; out . close ( ) ;
keep the current item in the valid range,if ( m cur item == ii . position ) { new curr item = math . max ( __num__ @$ math . min ( m cur item @$ adapter count - __num__ ) ) ; need populate = true ; }
send first produce request with multiple messages .,future < record metadata > request1 = append to accumulator ( tp0 ) ; append to accumulator ( tp0 ) ; sender . run once ( ) ; string node id = client . requests ( ) . peek ( ) . destination ( ) ; node node = new node ( integer . value of ( node id ) @$ __str__ @$ __num__ ) ; assert equals ( __num__ @$ client . in flight request count ( ) ) ;
set up the drawer 's list view with items and click listener,m pane list . set adapter ( new array adapter < string > ( this @$ r . layout . left_menu_layout @$ m animal titles ) ) ; m pane list . set on item click listener ( new drawer item click listener ( ) ) ;
verify that finished processes are removed after refresh,proc42 . finish ( __num__ ) ; process tracker . explicit run one iteration ( ) ; process tracker . verify external process info ( __num__ @$ proc41b @$ create params ( __str__ ) ) ; process tracker . verify no process info ( __num__ ) ; assert equals ( __num__ @$ process tracker . processes info . size ( ) ) ;
prepare today header text color paint .,m today header text paint = new paint ( paint . anti_alias_flag ) ; m today header text paint . set text align ( paint . align . center ) ; m today header text paint . set text size ( m text size ) ; m today header text paint . set typeface ( typeface . default_bold ) ; m today header text paint . set color ( m today header text color ) ;
m settings should be created before build input method list locked,m settings = new input method settings ( m res @$ context . get content resolver ( ) @$ m method map @$ user id @$ ! m system ready ) ; update current profile ids ( ) ; additional subtype utils . load ( m additional subtype map @$ user id ) ; m switching controller = input method subtype switching controller . create instance locked ( m settings @$ context ) ;
object used to corrupt the cache .,date interval format dif = date interval format . get instance ( __str__ @$ u locale . english ) ; calendar from = calendar . get instance ( ) ; calendar to = calendar . get instance ( ) ; from . set ( __num__ @$ __num__ @$ __num__ ) ; to . set ( __num__ @$ __num__ @$ __num__ ) ;
add a note re supported date range,if ( date == null ) { if ( locale . equals ( japanese_imperial ) ) { throw new parse exception ( __str__ + locale + __str__ + __str__ + source + __str__ + parse pattern . pattern ( ) @$ __num__ ) ; } throw new parse exception ( __str__ + source + __str__ + parse pattern . pattern ( ) @$ __num__ ) ; }
not enough memory there @$ take less,if ( ! memory control . request ( buffersize + __num__ * __num__ * __num__ @$ true ) ) { long lessmem = math . min ( max write buffer / __num__ @$ memory control . available ( ) - ( __num__ * __num__ * __num__ ) / __num__ ) ; buffersize = math . max ( __num__ @$ ( int ) ( lessmem / recordsize ) ) * recordsize ; }
check if the comparison is supported for this type,if ( ! object inspector utils . compare supported ( valueoi ) ) { throw new udf argument exception ( __str__ + func_name + __str__ + __str__ + valueoi . get type name ( ) + __str__ + __str__ ) ; } result = new boolean writable ( false ) ; return primitive object inspector factory . writable boolean object inspector ;
slice is waiting ; handle it first,if ( first > __num__ ) { unread ( ) ; break ; } else { boolean comp = ( ch == __str__ ) ; boolean one letter = true ; ch = next ( ) ; if ( ch != __str__ ) unread ( ) ; else one letter = false ; return family ( one letter @$ comp ) ; }
return the last target class @$ if any .,while ( true ) { class optimization info info = class optimization info . get class optimization info ( clazz ) ; if ( info == null ) { return target class ; } clazz = info . get target class ( ) ; if ( clazz == null ) { return target class ; } target class = clazz ; }
use empty string as the key for absent namespace,if ( desc . get context type ( ) == xsd description . context_import || desc . from instance ( ) ) { string namespace = desc . get target namespace ( ) ; string ns = namespace == null ? xml symbols . empty_string : namespace ; location array templa = location pairs . get ( ns ) ; if ( templa != null ) loc = templa . get first location ( ) ; }
create working directory for this region server .,string dir = server working dir ( server type @$ rs port ) ; string conf str = generate config ( server type @$ rs port @$ dir ) ; log . debug ( __str__ + dir ) ; new file ( dir ) . mkdirs ( ) ; write string to file ( conf str @$ dir + __str__ ) ;
always read annotation written by marshal output stream .,object annotation = read location ( ) ; class loader default loader = skip default resolve class ? null : latest user defined loader ( ) ; string codebase = null ; if ( ! use codebase only && annotation instanceof string ) { codebase = ( string ) annotation ; } return rmi class loader . load proxy class ( codebase @$ interfaces @$ default loader ) ;
avoid trying to create accessibility node info for removed children,if ( vh != null && ! vh . is removed ( ) && ! m child helper . is hidden ( vh . item view ) ) { on initialize accessibility node info for item ( m recycler view . m recycler @$ m recycler view . m state @$ host @$ info ) ; }
clearing text to remove the predefined one in the template,title . clear text ( ) ; xslf text paragraph p = title . add new text paragraph ( ) ; xslf text run r1 = p . add new text run ( ) ; r1 . set text ( __str__ ) ; r1 . set font color ( new color ( __num__ @$ __num__ @$ __num__ ) ) ; r1 . set font size ( __num__ ) ;
user 1 checks the presence of user 2 in the room,presence = muc . get occupant presence ( room + __str__ ) ; assert null ( __str__ @$ presence ) ; presence = muc . get occupant presence ( room + __str__ ) ; assert not null ( __str__ @$ presence ) ; assert equals ( __str__ @$ room + __str__ @$ presence . get from ( ) ) ;
need to trim to avoid whitespace around the coordinates such as tabs,string [ ] coordinates = coordinates string . trim ( ) . split ( __str__ ) ; for ( string coordinate : coordinates ) { lat lng alts array . add ( convert to lat lng alt ( coordinate ) ) ; } return lat lng alts array ;
0 is passed as readpoint because the test bypasses store,this ( null @$ scan @$ scan info @$ columns != null ? columns . size ( ) : __num__ @$ __num__ @$ scan . get cache blocks ( ) @$ scan type . user_scan ) ; this . matcher = user scan query matcher . create ( scan @$ scan info @$ columns @$ oldest unexpiredts @$ now @$ null ) ; seek all scanner ( scan info @$ scanners ) ;
add one to one 's complement to generate two 's complement,for ( int i = result . length - __num__ ; i >= __num__ ; i -- ) { result [ i ] = ( int ) ( ( result [ i ] & long_mask ) + __num__ ) ; if ( result [ i ] != __num__ ) break ; } return result ;
does it matches the bom artifact name,return dependencies . stream ( ) . filter ( dependency -> __str__ . equals ( dependency . get scope ( ) ) ) . filter ( dependency -> __str__ . equals ( dependency . get type ( ) ) ) . any match ( dependency -> dependency . get artifact id ( ) . equals ( mojo utils . template_property_quarkus_platform_artifact_id_value ) && dependency . get group id ( ) . equals ( mojo utils . template_property_quarkus_platform_group_id_value ) ) ;
if not @$ add an extra trailing field !,if ( pos + len < maxsize ) { text file input field field = new text file input field ( __str__ + dummynr @$ pos + len @$ maxsize - pos - len ) ; field . set ignored ( true ) ; fields . add ( field ) ; }
search through the running processes for a matching cmdline and kill it,string command = string . format ( __str__ + __str__ @$ process name ) ; try { execute command with error checking ( string . format ( __str__ @$ package name @$ command ) ) ; event bus . post ( console event . warning ( __str__ + process name ) ) ; } catch ( adb helper . command failed exception e ) { event bus . post ( console event . warning ( __str__ + __str__ @$ process name ) ) ; }
test group by column not in display columns,try { client . call procedure ( __str__ @$ __str__ + tb + __str__ ) ; fail ( ) ; } catch ( proc call exception ex ) { assert true ( ex . get message ( ) . contains ( __str__ ) ) ; }
retrieve key @$ default value and error text,string [ ] array = contents . split ( __str__ @$ __num__ ) ; array [ __num__ ] = array [ __num__ ] . trim ( ) ; if ( __str__ . equals ( array [ __num__ ] ) ) { return null ; }
assert we 're no longer run as :,assert false ( subject . is run as ( ) ) ; assert equals ( __str__ @$ subject . get principal ( ) ) ; assert true ( subject . has role ( __str__ ) ) ; assert false ( subject . has role ( __str__ ) ) ; assert false ( subject . has role ( __str__ ) ) ; assert null ( subject . get previous principals ( ) ) ;
at least one number and designator must be seen after p,boolean designator = false ; int end date = index of ( str @$ start @$ len @$ __str__ ) ; if ( end date == - __num__ ) { end date = len ; } else if ( duration type == yearmonthduration_type ) { throw new schema date time exception ( ) ; }
verify that there are no warning or error in vm output,command line option test . verify samejvm startup ( null @$ new string [ ] { rtm generic command line option test . rtm_instr_error @$ unrecongnized option } @$ exit code . ok @$ command line option test . unlock_experimental_vm_options @$ __str__ ) ; command line option test . verify samejvm startup ( null @$ new string [ ] { rtm generic command line option test . rtm_instr_error @$ unrecongnized option } @$ exit code . ok @$ command line option test . unlock_experimental_vm_options @$ __str__ ) ;
mock interrupt exception when peek lock only once,mockito . do throw ( new zk peek lock interrupt exception ( __str__ ) ) . do call real method ( ) . when ( spy ) . peek lock ( mockito . any string ( ) ) ; try { spy . lock ( path ) ; fail ( __str__ ) ; } catch ( exception e ) { assert true ( e instanceof zk peek lock interrupt exception ) ; }
now determine the small table results .,int first small table output column ; first small table output column = ( order [ __num__ ] == pos big table ? big table retain size : __num__ ) ; int small table output count = __num__ ; next output column = first small table output column ;
copy all basic code points to the output,int b = __num__ ; for ( int i = __num__ ; i < input . length ( ) ; i ++ ) { final char c = input . char at ( i ) ; if ( is basic ( c ) ) { output . append ( c ) ; b ++ ; } }
throw the packet away and silently continue,if ( ( ! connected address . equals ( peek address ) ) || ( connected port != peek port ) ) { datagram packet tmp = new datagram packet ( new byte [ __num__ ] @$ __num__ ) ; get impl ( ) . receive ( tmp ) ; } else { stop = true ; }
verify that this container is properly tracked,assert not null ( get process tree info ( get container id ( __num__ ) ) ) ; assert equals ( __num__ @$ get process tree info ( get container id ( __num__ ) ) . get pmem limit ( ) ) ; assert equals ( __num__ @$ get process tree info ( get container id ( __num__ ) ) . get vmem limit ( ) ) ;
create the problem set and cfd from files,ps = null ; cfd = null ; try { ps = new problem set ( prob set path ) ; cfd = new cumulative feature driver ( cfd path ) ; } catch ( exception e ) { logger . logln ( __str__ @$ log out . stderr ) ; e . print stack trace ( ) ; }
then close the reader gracefully so that the long.max watermark is emitted,synchronized ( tester . get checkpoint lock ( ) ) { tester . close ( ) ; } for ( org . apache . hadoop . fs . path file : files created ) { hdfs . delete ( file @$ false ) ; }
add the package name of the class for better accuracy .,if ( field class . get class type ( ) . get descriptor ( ) . contains ( __str__ ) ) { resource names . add ( field class . get package name ( ) + __str__ + field name . get string ( ) ) ; }
no overlap @$ just move the indexes to their new positions,if ( new start < start ) { m_map_ [ start > > > shift_ ] = new start ; for ( i = data_block_length ; i > __num__ ; -- i ) { m_data_ [ new start ++ ] = m_data_ [ start ++ ] ; } } else { m_map_ [ start > > > shift_ ] = start ; new start += data_block_length ; start = new start ; }
the setting of servers is done by a call to discovery service,list < server > servers = new array list < server > ( ) ; for ( string svc : is alive map . key set ( ) ) { servers . add ( new server ( svc ) ) ; } lb . add servers ( servers ) ;
reorder in fetch session @$ and update log start offset,if ( updated percentage != __num__ && counter % ( __num__ / updated percentage ) == __num__ ) { fetches . remove ( topic partition ) ; fetches . put ( topic partition @$ new fetch request . partition data ( __num__ @$ __num__ @$ __num__ @$ optional . empty ( ) ) ) ; }
invoking via reflection to avoid a strong dependency on jdk 9,try { method get pid = process . class . get method ( __str__ ) ; return ( long ) get pid . invoke ( process ) ; } catch ( exception e ) { log . warn ( e @$ __str__ ) ; }
checkstyle : stop magic number name check,if ( get exponent ( ) == all_one_exponent ) { if ( get bit ( __num__ @$ get fraction ( ) ) ) { if ( get bit ( __num__ @$ get fraction ( ) ) ) { return true ; } } else { return true ; } }
roll time ahead to be sure timer is due to fire,calendar tomorrow = calendar . get instance ( ) ; tomorrow . add ( calendar . day_of_year @$ __num__ ) ; process engine configuration . get clock ( ) . set current time ( tomorrow . get time ( ) ) ;
always require an ack to prevent misordering of messages,internal distributed system system = this . advisee . get system ( ) ; processor = new update attributes reply processor ( system @$ recipients ) ; update attributes message message = get update attributes message ( processor @$ recipients ) ; mgr . put outgoing ( message ) ; this . processor = processor ;
can launch the 5 th attempt successfully,rm2 . wait for state ( app1 . get application id ( ) @$ rm app state . accepted ) ; mockam am5 = rm2 . wait for newam to launch and register ( app1 . get application id ( ) @$ __num__ @$ nm1 ) ; clock . reset ( ) ; rm2 . wait for state ( am5 . get application attempt id ( ) @$ rm app attempt state . running ) ;
simulate the case the same key is built again inside the extension,property key fake extension key = new property key . builder ( fake key name ) . build ( ) ; assert equals ( __str__ @$ m configuration . get ( fake extension key ) ) ; assert true ( property key . from string ( fake key name ) . is built in ( ) ) ;
make sure all cipher suites names are expected,set remaining cipher suites = new hash set < string > ( expected ) ; set unknown cipher suites = new hash set < string > ( ) ; for ( string cipher suite : cipher suites ) { boolean removed = remaining cipher suites . remove ( cipher suite ) ; if ( ! removed ) { unknown cipher suites . add ( cipher suite ) ; } } assert equals ( __str__ @$ collections . empty_set @$ unknown cipher suites ) ; return remaining cipher suites ;
