move over a bit so the oval does n't overwrite the label,int label padding = __num__ ; location . x -= label padding * __num__ ; location . y -= label padding * __num__ ;,oval overwrite label,fail,obj,4,5,2,4,4,4,5,2
media player 2 uses strings instead of application mime types .,if ( mime types . application_cea608 . equals ( mime type ) ) { media format . set string ( media format . key_mime @$ mimetype_text_cea_608 ) ; } else if ( mime types . application_cea708 . equals ( mime type ) ) { media format . set string ( media format . key_mime @$ mimetype_text_cea_708 ) ; },media uses strings,fail,obj,4,5,2,4,4,4,5,2
client eventually sees broken connection,assert throws ( io exception . class @$ ( ) -> { int i = __num__ ; for ( i = __num__ ; i < __num__ ; i ++ ) { client . get output stream ( ) . write ( __num__ ) ; } } ) ;,client sees connection,fail,obj,2,2,2,4,4,1,0,2
no permissions required or already grunted @$ can start crop image view,m crop image view . set image uri async ( m crop image uri ) ;,permissions start view,fail,obj,5,5,2,4,4,1,0,2
clear non backed up configuration from expected interval stats,m interval stats . active configuration = null ; m interval stats . configurations . clear ( ) ; m interval stats . events . clear ( ) ;,non backed configuration,fail,obj,2,2,2,3,4,4,3,0
assert that the table created still has no hcat data,table table2 = client . get table ( __str__ @$ __str__ ) ; assert . assert true ( table2 . get sd ( ) . get input format ( ) . equals ( h cat constants . hive_rcfile_if_class ) ) ; driver . run ( __str__ ) ;,table has data,fail,obj,3,3,2,3,4,4,3,0
this is a user who already configured the thread,if ( get polling thread count ( ) != threads_default ) { return true ; },who configured thread,fail,obj,3,5,2,2,2,0,5,0
the new code browser selection should have one of our vertex selections,assert true ( code browser selection . get min address ( ) . equals ( first selection . get min address ( ) ) ) ; assert true ( code browser selection . get max address ( ) . equals ( second selection . get max address ( ) ) ) ;,selection have one,fail,obj,3,4,2,2,2,0,5,0
need constantly invalidate view in order to get max redraw time .,m layout . get view tree observer ( ) . add on pre draw listener ( this ) ;,max redraw time,fail,obj,2,5,2,2,0,1,4,1
add the input file string and date string to lists,file strings . add ( input line ) ; dt objects . add ( calculateddt ) ;,input file string,fail,obj,5,5,2,2,0,1,4,1
reconnect internet after testing network health triggered broadcast,get device ( ) . execute shell command ( __str__ ) ; get device ( ) . execute shell command ( __str__ ) ;,health triggered broadcast,fail,obj,2,2,2,2,1,0,0,2
check that null pd array throws exception,try { new access control context ( null ) ; throw new exception ( __str__ ) ; } catch ( exception e ) { if ( ! ( e instanceof null pointer exception ) ) { throw new exception ( __str__ ) ; } },array throws exception,fail,obj,3,4,2,2,1,0,0,2
orc does n't currently handle timestamp,case timestamp : timestamp ts = data type utils . to timestamp ( field value @$ ( ) -> data type utils . get date format ( field data type . get format ( ) ) @$ field name ) ;,orc handle timestamp,fail,obj,2,4,1,1,0,0,0,2
we found counter objects which imply error,if ( ! verify unexpected values ( counters ) ) { success = false ; },which imply error,fail,obj,1,5,1,1,0,0,0,2
the following should take over a thread,secure random rand = new secure random ( ) ; rand . next bytes ( new byte [ __num__ ] ) ;,following take thread,fail,obj,2,4,2,0,0,0,1,1
keys which have similar pattern as the desired key,list < string > possible matches = new array list < > ( ) ;,which have pattern,fail,obj,1,1,2,0,0,0,1,1
the agent can read files from user content,string content = s . get channel ( ) . call ( new read files2m callable ( target ) ) ;,agent read files,fail,obj,3,2,2,0,0,1,0,1
audit sql driver for example wo n't extend entity sql driver,if ( ! ( type instanceof java . lang . reflect . parameterized type ) ) { return null ; },dao extend driver,fail,obj,3,3,2,0,0,1,0,1
check if the workers go room ...,assert true ( appender . log contains ( __str__ ) ) ; assert true ( appender . log contains ( __str__ ) ) ; assert true ( appender . log contains ( __str__ ) ) ;,workers go room,fail,obj,2,2,2,3,3,1,0,2
if there are no tangents use the classic scaling,if ( tb == null ) { apply skinning ( mesh @$ offset matrices ) ; } else { apply skinning tangents ( mesh @$ offset matrices @$ tb ) ; },tangents use scaling,fail,obj,4,4,2,3,3,1,0,2
the primary zygote did n't match . try the protocol .,if ( m zygote secondary socket address != null ) { attempt connection to secondary zygote ( ) ; if ( secondary zygote state . matches ( abi ) ) { return secondary zygote state ; } },primary try protocol,fail,obj,2,2,2,3,3,1,0,2
indicate the the client supports presence,join presence . add extension ( new muc initial presence ( password @$ max chars @$ max stanzas @$ seconds @$ since ) ) ;,client supports presence,fail,obj,2,2,2,3,3,1,0,2
did some instances lose their state ?,if ( last known instance configs . size ( ) != current relevant instance configs . size ( ) ) { logger . info ( __str__ @$ table name @$ last known instance configs . size ( ) @$ current relevant instance configs . size ( ) ) ; return true ; },instances lose state,fail,obj,3,3,2,2,3,1,0,1
does lfs see the correct file size ?,assert equals ( lfs . get file status ( pathtotestfile1 ) . get len ( ) @$ testfile1 . length ( ) ) ;,lfs see size,fail,obj,2,2,2,2,3,1,0,1
register the chat window menu bar component .,container filter . put ( container . container_id @$ container . container_chat_menu_bar . getid ( ) ) ; bundle context . register service ( plugin component factory . class . get name ( ) @$ new otr plugin component factory ( container . container_chat_menu_bar ) @$ container filter ) ;,menu bar component,fail,obj,5,5,2,2,0,1,0,2
to avoid rejected execution exception in basic directory model wait a sec,try { thread . sleep ( __num__ ) ; } catch ( interrupted exception e ) { throw new runtime exception ( e ) ; },exception wait sec,fail,obj,5,3,2,2,0,1,0,2
recompute system ui attributes .,if ( ( m window attributes changes flag & window manager . layout params . translucent_flags_changed ) != __num__ ) { m attach info . m recompute global attributes = true ; },system ui attributes,fail,obj,4,5,2,2,3,1,4,2
compute coordinates of point in box coordinate space,temp vars vars = temp vars . get ( ) ; vector3f closest = vars . vect1 ; point . subtract ( center @$ closest ) ;,coordinates coordinate space,fail,obj,4,4,2,2,3,1,4,2
revisit : the following should also update id node,attr . set node value ( attr value ) ; index = f element . set xerces attribute node ( attr ) ; f augmentations . insert element at ( new augmentations impl ( ) @$ index ) ; attr . set specified ( false ) ;,the update node,fail,obj,4,5,2,1,1,1,0,1
saving the tool saves the process,tool = save tool ( env . get project ( ) @$ tool ) ;,tool saves process,fail,obj,4,2,2,1,1,1,0,1
first request has no continuation sequence .,state tag state tag = new state tag ( state tag . kind . bag @$ encoded tag @$ state family ) ;,request has sequence,fail,obj,1,1,1,2,0,3,0,1
optionally check the byte after this frame matches sync header .,if ( ! try read ( pes buffer @$ adts scratch . data @$ __num__ ) ) { return true ; } adts scratch . set position ( __num__ ) ; int frame size = adts scratch . read bits ( __num__ ) ; if ( frame size <= __num__ ) { return false ; },frame matches header,fail,obj,2,2,1,2,0,3,0,1
not null constraint should reference a single parent,m constraint muk = new m constraint ( constraint name @$ constraint type @$ __num__ @$ null @$ null @$ enable validate rely @$ parent table @$ null @$ parentcd @$ null @$ null @$ parent integer index @$ constraint value ) ;,constraint reference parent,fail,obj,2,3,2,1,2,2,0,1
ok @$ lets compare this object lexicographically,subversion comparision result = v comps1 [ i ] . compare to ( v comps2 [ i ] ) ;,lets compare object,fail,obj,4,3,2,1,2,2,0,1
existing write item against the caller 's valitem list .,if ( part == null ) { return null ; } if ( mt == null ) { throw new invalid object exception ( __str__ ) ; },existing write item,fail,obj,3,4,2,3,3,2,0,2
validate our name matches an existing file,file topic = get help topic ( ) ; file image file = get image file ( topic @$ name ) ; finished ( topic @$ image file . get name ( ) ) ;,name matches file,fail,obj,3,5,2,3,3,2,0,2
the job should wait more than one sec,if ( cur priority > executable . get default priority ( ) + __num__ ) { add to job pool ( executable @$ cur priority ) ; } else { left job priorities . put ( executable . get id ( ) @$ cur priority + __num__ ) ; },job wait sec,fail,obj,5,5,2,1,1,0,4,0
stopship do proper validation in split user mode,return code_ok ; if ( ! m injector . user manager is split system user ( ) ) { if ( device owner user id != user handle . user_system ) { return code_not_system_user ; } if ( has user setup completed ( user handle . user_system ) ) { return code_user_setup_completed ; } } else { },stopship do validation,fail,obj,3,5,2,1,1,0,4,0
2 nd time launch service to handle if service exist ok,system service . launch user service ( user services ) ; verify for launched user services ( ) ;,service exist ok,fail,obj,5,2,2,1,0,2,0,1
user certificate store @$ does not bypass static defaults .,if ( info . target sdk version <= build . version_codes . m && ! info . is privileged app ( ) ) { builder . add certificates entry ref ( new certificates entry ref ( user certificate source . get instance ( ) @$ false ) ) ; },store bypass defaults,fail,obj,3,2,2,1,0,2,0,1
ensure that the notifier updated the value,assert equals ( v1 @$ r . get entry ( k3 ) . get value ( ) ) ;,notifier updated value,fail,obj,1,5,2,0,0,1,0,1
shuffle the list so all clients do n't prefer the same referants,if ( iter == null ) { list < redis client > clients = new array list < > ( sentinels . values ( ) ) ; collections . shuffle ( clients ) ; iter = clients . iterator ( ) ; },clients prefer referants,fail,obj,5,5,2,0,0,1,0,1
cnxns typically have many paths @$ so use default cap here,if ( paths == null ) { paths = new hash set < > ( ) ; watch2 paths . put ( watcher @$ paths ) ; },cnxns have paths,fail,obj,4,5,2,1,0,2,5,1
verify the puts reach size 2,vm2 . invoke ( ( ) -> wan test base . validate region size ( get test method name ( ) + __str__ @$ __num__ ) ) ;,puts reach size,fail,obj,1,5,2,1,0,2,5,1
phreak must also remove the task from the rule network evaluator,if ( match . get rule agenda item ( ) != null ) { if ( left tuple . get memory ( ) != null ) { left tuple . get memory ( ) . remove ( left tuple ) ; } },phreak remove task,fail,obj,3,3,1,3,3,3,0,1
skip bundles that have n't reached resolved states ; skip fragments .,if ( b . get state ( ) <= bundle . resolved || b . get headers ( ) . get ( constants . fragment_host ) != null ) continue ; try { cls = b . load class ( name ) ; break ; } catch ( class not found exception ignored ) { },bundles resolved states,fail,obj,4,3,1,3,3,3,0,1
handle negatives @$ which means last n text,if ( start < __num__ ) { start = str . length ( ) + start ; },which means text,fail,obj,1,1,1,2,3,0,0,2
should not work : aggregate on string,try { tuple ds . aggregate ( aggregations . sum @$ __num__ ) ; assert . fail ( ) ; } catch ( unsupported aggregation type exception iae ) { },not work aggregate,fail,obj,2,5,1,2,3,0,0,2
