optionally check the byte after this frame covers sync word .,if ( ! try read ( pes buffer @$ adts scratch . data @$ __num__ ) ) { return true ; } adts scratch . set position ( __num__ ) ; int frame size = adts scratch . read bits ( __num__ ) ; if ( frame size <= __num__ ) { return false ; },frame covers,fail,pre,5,4,2,1,0,0,3,0
check if the line matches at least one character or digit,for ( string line : lines ) { if ( character_digits_pattern . matcher ( line ) . matches ( ) ) { stderr . append ( line ) ; } },line matches,fail,pre,4,5,2,1,0,0,3,0
ensure sub visible to any new dest create subscriptions for destination,subscriptions . put ( info . get consumer id ( ) @$ sub ) ; destinations lock . read lock ( ) . unlock ( ) ;,sub create,fail,pre,5,5,2,1,0,0,3,0
id types can contain int literals .,if ( type == scalars . graphqlid && string value . matches ( __str__ ) ) { return int value . new int value ( ) . value ( new big integer ( string value ) ) . build ( ) ; },types contain,fail,pre,3,5,2,1,0,0,3,0
a @$ should get b 's conflicting copy,clienta . down ( ) ; assert file list equals ( clienta . get local files exclude locked and no read ( ) @$ clientb . get local files exclude locked and no read ( ) ) ; assert sql database equals ( clienta . get database file ( ) @$ clientb . get database file ( ) ) ;,a get,fail,pre,3,5,2,1,0,0,3,0
robolectric does n't have this library,if ( ! test util . are robolectric tests running ( ) ) { ok http builder . add interceptor ( new chuck interceptor ( application . get application context ( ) ) ) ; },robolectric have,fail,pre,3,5,2,1,0,0,3,0
cancellation of the job should catch everything,final completable future < job result > job result future = dispatcher gateway . request job result ( job graph . get jobid ( ) @$ testing_timeout ) ; dispatcher gateway . cancel job ( job graph . get jobid ( ) @$ testing_timeout ) . get ( ) ;,cancellation catch,fail,pre,2,5,2,1,0,0,3,0
the specified network connection is not available . show error message .,web view my web view = find view by id ( r . id . webview ) ; my web view . load data ( get resources ( ) . get string ( r . string . connection_error ) @$ __str__ @$ null ) ;,network show,fail,pre,5,5,2,1,0,0,3,0
validate selected controller services meet the api required by the processor,final collection < validation result > referenced service validation results = validate referenced controller services ( validation context ) ; validation results . add all ( referenced service validation results ) ; logger . debug ( __str__ @$ validation context @$ validation results ) ; return validation results ;,services meet,fail,pre,4,5,2,1,0,0,3,0
remove any array models which have validation and enums,if ( cm . is array model && ! model property . is enum && ! model property . has validation ) { model schemas to remove . put ( cm . name @$ model schema ) ; },which have,fail,pre,2,4,2,1,0,1,0,2
all honest parties should perform cheating,boolean thrown = false ; try { run application ( test application ) ; } catch ( exception e ) { assert true ( e . get cause ( ) instanceof malicious exception ) ; thrown = true ; } assert true ( __str__ @$ thrown ) ;,parties perform,fail,pre,1,2,2,1,0,1,0,2
if the class is null @$ the driver generates no user code,if ( user code function type != null ) { this . stub = init stub ( user code function type ) ; },driver generates,fail,pre,1,5,2,1,0,1,0,2
we use the default requires configuration,if ( build time config . default backend . version . is present ( ) ) { add config ( property collector @$ engine settings . default_backend @$ hibernate search elasticsearch recorder . default_backend ) ; },default requires,fail,pre,3,1,2,1,0,1,0,2
other errors generate a full log .,log . error ( __str__ @$ service != null ? ( service . to string ( ) + __str__ + service . get service state ( ) ) : __str__ @$ thrown ) ; exit exception = convert to exit exception ( thrown ) ;,errors generate,fail,pre,1,4,2,1,0,1,0,2
assert that the disk has received all of the updates,region version vector rvv = getrvv ( vm1 ) ; region version vector diskrvv = get diskrvv ( vm1 ) ; assert samervv ( rvv @$ diskrvv ) ;,disk received,fail,pre,2,5,2,1,0,1,0,2
register object types and fields before canonicalization can optimize them .,register used elements ( ) ; canonicalizer phase . create ( ) . apply ( graph @$ bb . get providers ( ) ) ;,register object,fail,pre,2,4,2,1,0,1,0,2
interface jars artifacts provide proper owner labels,return new java compilation artifacts . builder ( ) . add runtime jars ( jars ) . add full compile time jars ( jars ) . add interface jars ( interface jars ) . build ( ) ;,artifacts provide,fail,pre,2,1,2,1,0,1,0,2
