check if ping <PLACE_HOLDER> does not encounter any errors,if ( process . exit value ( ) == __num__ ) { shell_result = parse ( process ) ; } else { shell_result = su_busyboox_ping ( params [ __num__ ] . address ) ; },vm encounter errors,fail,sub
media player 2 uses <PLACE_HOLDER> instead of application mime types .,if ( mime types . application_cea608 . equals ( mime type ) ) { media format . set string ( media format . key_mime @$ mimetype_text_cea_608 ) ; } else if ( mime types . application_cea708 . equals ( mime type ) ) { media format . set string ( media format . key_mime @$ mimetype_text_cea_708 ) ; },media uses strings,fail,obj
move over a bit so the oval does n't overwrite the <PLACE_HOLDER>,int label padding = __num__ ; location . x -= label padding * __num__ ; location . y -= label padding * __num__ ;,oval overwrite label,fail,obj
client eventually sees broken <PLACE_HOLDER>,assert throws ( io exception . class @$ ( ) -> { int i = __num__ ; for ( i = __num__ ; i < __num__ ; i ++ ) { client . get output stream ( ) . write ( __num__ ) ; } } ) ;,client sees connection,fail,obj
no permissions required or already grunted @$ can start crop image <PLACE_HOLDER>,m crop image view . set image uri async ( m crop image uri ) ;,permissions start view,fail,obj
assert that the table created still has no hcat <PLACE_HOLDER>,table table2 = client . get table ( __str__ @$ __str__ ) ; assert . assert true ( table2 . get sd ( ) . get input format ( ) . equals ( h cat constants . hive_rcfile_if_class ) ) ; driver . run ( __str__ ) ;,table has data,fail,obj
clear non backed up <PLACE_HOLDER> from expected interval stats,m interval stats . active configuration = null ; m interval stats . configurations . clear ( ) ; m interval stats . events . clear ( ) ;,non backed configuration,fail,obj
make sure <PLACE_HOLDER> can handle colon,if ( replaced value . contains ( __str__ ) ) { try { file tmp = file . create temp file ( __str__ @$ __str__ ) ; tmp . delete ( ) ; } catch ( io exception e ) { throw new invalid builds dir ( new builds dir value + __str__ ) ; } },pattern handle colon,fail,sub
default <PLACE_HOLDER> should show system decors,assert true ( m target . should show system decors locked ( m primary display ) ) ;,options show decors,fail,sub
trigger check to see if parent <PLACE_HOLDER> has changed @$ recalculate layouts,resize timer = new timer ( ) { @ override public void run ( ) { perform size check ( ) ; resize timer . schedule ( monitor_parent_timer_interval ) ; } } ;,monitor changed layouts,fail,sub
the new code browser selection should have <PLACE_HOLDER> of our vertex selections,assert true ( code browser selection . get min address ( ) . equals ( first selection . get min address ( ) ) ) ; assert true ( code browser selection . get max address ( ) . equals ( second selection . get max address ( ) ) ) ;,selection have one,fail,obj
<PLACE_HOLDER> like forall not node might override this propagation,insert child left tuple ( sink @$ trg left tuples @$ left tuple @$ right tuple . get propagation context ( ) @$ true ) ;,children override propagation,fail,sub
this is a user who already configured the <PLACE_HOLDER>,if ( get polling thread count ( ) != threads_default ) { return true ; },who configured thread,fail,obj
need constantly invalidate view in order to get max redraw <PLACE_HOLDER> .,m layout . get view tree observer ( ) . add on pre draw listener ( this ) ;,max redraw time,fail,obj
the <PLACE_HOLDER> does not cross a subpackage boundary .,if ( containing pkg . equals ( label . get package identifier ( ) ) ) { return false ; },process cross boundary,fail,sub
add the input file string and date <PLACE_HOLDER> to lists,file strings . add ( input line ) ; dt objects . add ( calculateddt ) ;,input file string,fail,obj
construct container <PLACE_HOLDER> increase request @$,list < token > increase tokens = new array list < > ( ) ;,tokens increase request,fail,sub
reconnect internet after testing network health triggered <PLACE_HOLDER>,get device ( ) . execute shell command ( __str__ ) ; get device ( ) . execute shell command ( __str__ ) ;,health triggered broadcast,fail,obj
to prevent concurrent <PLACE_HOLDER> see bug 41646,synchronized ( this . overflow map ) { overflow oplog oplog = get child ( ( int ) oplog id ) ; if ( oplog != null ) { oplog . remove ( dr @$ entry ) ; } },checks see bug,fail,sub
check that null pd array throws <PLACE_HOLDER>,try { new access control context ( null ) ; throw new exception ( __str__ ) ; } catch ( exception e ) { if ( ! ( e instanceof null pointer exception ) ) { throw new exception ( __str__ ) ; } },array throws exception,fail,obj
orc does n't currently handle <PLACE_HOLDER>,case timestamp : timestamp ts = data type utils . to timestamp ( field value @$ ( ) -> data type utils . get date format ( field data type . get format ( ) ) @$ field name ) ;,orc handle timestamp,fail,obj
if this next <PLACE_HOLDER> runs a clinit @$ it fails,lambda l = dummy method to make check style happy ( static fail if clinit runs :: static method ) ; try { l . run ( __num__ @$ __num__ ) ; fail ( __str__ ) ; } catch ( assertion error ae ) { },lambda runs clinit,fail,sub
we found counter objects which imply <PLACE_HOLDER>,if ( ! verify unexpected values ( counters ) ) { success = false ; },which imply error,fail,obj
second <PLACE_HOLDER> forces the output to be materialized,p assert . that ( result ) . contains in any order ( kv . of ( __str__ @$ immutable list . of ( __num__ @$ __num__ @$ __num__ ) ) @$ kv . of ( __str__ @$ immutable list . of ( __num__ ) ) ) ;,kv forces output,fail,sub
