options,'options'," ""option's""", 'potions', 'option', 'opt ions', 'opt-ions', 'portions'," ""potion's""", 'adoptions'," ""portion's"""," ""adoption's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lines,'lines', 'liens'," ""line's""", 'liners', 'linens', 'kines', 'limes', 'lined', 'Ines', 'lies', 'line'," ""Lin's""", 'Linus', 'lanes', 'lings'," ""liner's""", 'lingers', 'lioness', 'loners', 'lens', 'lions', 'loins', 'liner', 'links', 'lints', 'Hines', 'dines', 'fines'," ""lien's""", 'likes', 'linen', 'lives', 'mines', 'nines', 'pines', 'sines', 'tines', 'vines', 'wines', 'zines', 'lingoes'," ""Lane's"""," ""Lina's"""," ""Lon's"""," ""lane's"""," ""ling's"""," ""lion's"""," ""loin's"""," ""loner's"""," ""LAN's"""," ""Len's"""," ""lime's"""," ""Lie's"""," ""Luna's"""," ""Lynne's"""," ""lie's"""," ""Aline's"""," ""Cline's"""," ""Kline's"""," ""linen's"""," ""Lind's"""," ""link's"""," ""lint's"""," ""Linus's"""," ""fine's"""," ""life's"""," ""like's"""," ""lingo's"""," ""mine's"""," ""nine's"""," ""pine's"""," ""sine's"""," ""tine's"""," ""vine's"""," ""wine's"""," ""Lana's"""," ""Lena's"""," ""Leno's"""," ""Lynn's"""," ""lens's""",,,,,,,,,,,,,,,,,,,,
str,string, 'star', 'stir', 'ST', 'Sr', 'St', 'st', 'tr', 'satyr', 'stare', 'store', 'story', 'strew', 'Sta', 'Stu', 'sty', 'SLR', 'STD', 'ctr', 'std', 'Starr', 'straw', 'stray', 'stria', 'Sadr', 'Sir', 'sir', 'Sartre', 'satire', 'satori', 'stereo', 'storey', 'suture', 'Set', 'set', 'sort', 'sate', 'sett', 'sitar', 'site', 'stew', 'strep', 'Stark', 'Stern', 'starer', 'stark', 'starry', 'stars', 'start', 'stern', 'stirs', 'stork', 'storm', 'Dr', 'SAT', 'SRO', 'Sat', 'Sudra', 'sat', 'sit', 'sot', 'try', 'SST', 'stair', 'steer', 'strap', 'strip', 'strop', 'strum', 'strut', 'striae', 'Sara', 'Soto', 'sari', 'sere', 'sire', 'sore', 'stay', 'stow', 'sure', 'SD', 'Zr'," ""star's"""," ""stir's""",,,,,,,,,,,,,,,,
conf,conference,configuration file,confirm, 'coif', 'cone', 'cony', 'conj', 'conk', 'cons', 'cont', 'confer', 'Congo', 'comfy', 'condo', 'coned', 'conga', 'conifer', 'coin', 'coon', 'corn', 'inf', 'CF', 'Cf', 'NF', 'cf', 'confab', 'Corfu', 'corny', 'Conan', 'coins'," ""con's""", 'conch', 'cones', 'conic', 'convey', 'convoy', 'coons', 'corns', 'count', 'CNN', 'Can', 'Jon', 'can', 'CNS', 'Goff', 'Joni', 'caff', 'cane', 'cove', 'cuff', 'gone', 'goof'," ""Conn's"""," ""coin's"""," ""coon's"""," ""corn's"""," ""cone's"""," ""cony's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,'Scala', 'scalar', 'scale', 'scaly', 'scald', 'scalp', 'scull'," ""Scala's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc,'SC', 'Sc', 'SAC', 'SEC', 'Sec', 'Soc', 'sac', 'sec', 'sic', 'soc', 'Cs', 'cs', 'sci', 'AC', 'Ac', 'DC', 'ac', 'dc', 'sch', 'C', 'S', 'c', 's', 'SJ', 'SK', 'Sq', 'sq', 'sack', 'sick', 'sock', 'suck', 'NSC', 'SA', 'SE', 'SO', 'SS', 'SW', 'Se', 'Si', 'WC', 'cc', 'so', 'BC', 'EC', 'KC', 'LC', 'MC', 'NC', 'PC', 'QC', 'RC', 'SD', 'SF', 'ST', 'Sb', 'Sm', 'Sn', 'Sp', 'Sr', 'St', 'Tc', 'kc', 'sf', 'st', 'scar', 'scow', 'zac', 'SJW', 'sag', 'seq', 'ska', 'ski', 'sky', 'xx', 'sh'," ""SC's"""," ""Sc's"""," ""S's"""," ""C's""",,,,,,,,,,,,,,,,,,,,,
supported,'supported', 'supporter', 'sported', 'sup ported', 'sup-ported', 'support ed', 'support-ed', 'spurted', 'spotted', 'supporters', 'supports', 'support', 'suppurated', 'spouted'," ""support's""", 'supposed'," ""supporter's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sql,'SQL',structured query language, 'sq', 'Sal', 'Sol', 'sol', 'sqq', 'scowl', 'sequel', 'SK', 'Scala', 'scale', 'scaly', 'seq', 'sly', 'Salk', 'silk', 'squall', 'squeal', 'sulk', 'SGML', 'Saul', 'sail', 'sale', 'seal', 'sell', 'sill', 'silo', 'soil', 'sole', 'solo', 'soul', 'STOL', 'scull', 'skill', 'skoal', 'skull', 'Cl', 'SC', 'SJ', 'Sc', 'XL', 'cl', 'kl', 'MySQL', 'COL', 'Cal', 'Col', 'Gil', 'Jul', 'SAC', 'SEC', 'SJW', 'Sec', 'Soc', 'cal', 'col', 'gal', 'gel', 'sac', 'sag', 'sec', 'sic', 'ska', 'ski', 'sky', 'soc',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wal,'Wall', 'wail', 'wale', 'wall', 'weal', 'awl', 'Wald', 'Walt', 'walk', 'AL', 'Al', 'WA', 'Val', 'val', 'wally', 'whale', 'war', 'way', 'Cal', 'Hal', 'Sal', 'WAC', 'Wac', 'cal', 'gal', 'pal', 'wad', 'wag', 'wan', 'was', 'veal', 'wheal', 'Will', 'vale', 'well', 'wile', 'will', 'wily', 'wool', 'wax', 'vial', 'vol'," ""we'll""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num,number, 'NM', 'bum', 'mum', 'nun', 'nu', 'um', 'Nam', 'cum', 'fum', 'gum', 'hum', 'nub', 'nus', 'nut', 'rum', 'sum', 'tum', 'yum', 'Nome', 'name', 'norm'," ""nu's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impl,implement, 'imply', 'imp', 'impala', 'impale', 'imps', 'ample', 'amply', 'impels', 'ampule', 'ump', 'dimple', 'dimply', 'limply', 'pimple', 'pimply', 'simple', 'simply', 'wimple', 'imper', 'ampler', 'employ'," ""imp's""", 'amp',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
properties,'properties', 'propertied'," ""property's""", 'proper ties', 'proper-ties',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fs,file system, 'SF', 'sf', 'FMs', 'FSF', 'fa', 'fps', 'FD', 'gs', 'F', 'S', 'f', 's', 'fuse', 'ifs', 'FY', 'Fe', 'SS', 'ff', 'As', 'BS', 'Cs', 'Es', 'FL', 'FM', 'Fm', 'Fr', 'HS', 'KS', 'Ks', 'MS', 'Ms', 'NS', 'OS', 'Os', 'PS', 'US', 'XS', 'Zs', 'as', 'cs', 'es', 'fl', 'fr', 'ft', 'is', 'ks', 'ls', 'ms', 'rs', 'ts', 'us', 'vs'," ""Fe's"""," ""fa's""", 'fays', 'fees', 'fess', 'firs', 'foes', 'furs', 'fuss', 'Fez', 'fez'," ""D's"""," ""G's"""," ""Cf's"""," ""FM's"""," ""Fm's"""," ""Fr's"""," ""HF's"""," ""Hf's"""," ""Rf's"""," ""if's"""," ""Fay's"""," ""fay's"""," ""fee's"""," ""few's"""," ""fir's"""," ""foe's"""," ""fur's"""," ""S's"""," ""W's"""," ""Y's"""," ""A's"""," ""B's"""," ""C's"""," ""E's"""," ""H's"""," ""I's"""," ""J's"""," ""K's"""," ""L's"""," ""M's"""," ""N's"""," ""O's"""," ""P's"""," ""R's"""," ""T's"""," ""U's"""
